Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_sup_earth_7.0au,single_sup_earth_10.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
116.89518164985776,3.532927414687248e-06,3.5329269621880988e-06,3.5329269403028274e-06,3.532926935875813e-06,3.532932575767145e-06,3.532927252178353e-06,3.532926994606611e-06,3.5329269425787846e-06,3.5331005463629106e-06,3.5329366897540737e-06,3.5329287623869776e-06,3.5329271606820978e-06,0.001762738276013004,3.5261250294904567e-06,3.5317572016080323e-06,3.532929435098864e-06,3.5553569598389956e-06,3.5388300182043197e-06,3.535903140158836e-06,3.533767343008587e-06
136.6448349295326,6.872700204635374e-07,6.872698584681203e-07,6.872698467275118e-07,6.872698431470425e-07,6.872719531397786e-07,6.872700473448123e-07,6.872699090665346e-07,6.872698671556154e-07,6.873348491753806e-07,6.872761945803108e-07,6.872719382211567e-07,6.872706484334357e-07,0.0002888829492452283,6.871383291945365e-07,6.872565228160932e-07,6.87278840338923e-07,6.938375037984779e-07,6.881167664424259e-07,6.876065038879942e-07,6.873908387355909e-07
159.7312280060254,8.375984892894373e-07,8.375982477465405e-07,8.375982300662388e-07,8.375982247094127e-07,8.376013740929444e-07,8.375985323660906e-07,8.375983244490737e-07,8.375982611524835e-07,8.376952646133029e-07,8.376077963168083e-07,8.376013965333273e-07,8.375994474535409e-07,0.00032144676045424425,8.37654564891932e-07,8.3762228836326e-07,8.376118878078431e-07,8.472470233306106e-07,8.386201525989456e-07,8.379605855174388e-07,8.377353614419381e-07
186.71810912919207,9.948670910697732e-07,9.948667564346758e-07,9.948667326897809e-07,9.948667255982313e-07,9.948710712887054e-07,9.948671343268378e-07,9.94866855050236e-07,9.948667717696313e-07,9.95000508957622e-07,9.948794355424395e-07,9.948708383361593e-07,9.948682748034399e-07,0.0003557578970351527,9.949920491553188e-07,9.949078311893844e-07,9.948840380691326e-07,1.008291161952446e-06,9.961545306969022e-07,9.95293875594161e-07,9.950267702979465e-07
218.26447283974872,1.1697150699430114e-06,1.169714606341632e-06,1.1697145743810866e-06,1.1697145650274576e-06,1.1697205641453268e-06,1.1697151099526737e-06,1.1697147337813574e-06,1.1697146238276446e-06,1.1698994649284034e-06,1.1697315035474887e-06,1.1697199231164301e-06,1.1697165381435726e-06,0.00039056794706071596,1.1699007981952336e-06,1.1697726885750992e-06,1.169736616582484e-06,1.1885180626336478e-06,1.1714059917622421e-06,1.1702537687369174e-06,1.1699131482328928e-06
255.14065200312874,1.3694636798317061e-06,1.3694630327937274e-06,1.3694629892313515e-06,1.3694629767274646e-06,1.3694713262707436e-06,1.3694637129579856e-06,1.3694632005623042e-06,1.369463053221831e-06,1.3697191495742889e-06,1.3694858538720878e-06,1.3694700796290649e-06,1.3694655436324865e-06,1.414866414445326e-06,1.369719845184525e-06,1.3695416097025959e-06,1.3694916665696333e-06,1.3959774912697398e-06,1.371742712349966e-06,1.3701722035436292e-06,1.3697195749839963e-06
298.2471286216891,1.6011151632161491e-06,1.6011142611738194e-06,1.6011142015132096e-06,1.6011141845961863e-06,1.6011258044124066e-06,1.60111518604511e-06,1.601114484217625e-06,1.601114285265659e-06,1.6014734967595423e-06,1.601145294169437e-06,1.6011236875640433e-06,1.6011175627272944e-06,1.6548886908468452e-06,1.6014637989753e-06,1.6012197645437487e-06,1.6011519431841092e-06,1.6386884134494961e-06,1.6042187637177463e-06,1.6020626337209798e-06,1.601451719429603e-06
348.6365227678084,1.8713443498963311e-06,1.8713430752353988e-06,1.8713429932315506e-06,1.8713429703054452e-06,1.8713593538249862e-06,1.871344338197356e-06,1.87134337352457e-06,1.8713431036848638e-06,1.8718482759222388e-06,1.871385452559271e-06,1.8713557533855951e-06,1.8713474458642576e-06,1.935174947315099e-06,1.8718195552713812e-06,1.8714850743423161e-06,1.8713929977320909e-06,1.924865783139995e-06,1.8755912578188871e-06,1.8726200983892882e-06,1.8717905408693891e-06
407.5392965871778,2.1870443726590416e-06,2.187042569101738e-06,2.1870424560532786e-06,2.1870424248143783e-06,2.1870655801115024e-06,2.187044299911678e-06,2.18704296989225e-06,2.1870426025055734e-06,2.1877537556419524e-06,2.187100645811846e-06,2.1870596974005174e-06,2.1870483868507984e-06,2.263048147210789e-06,2.1876945962978622e-06,2.187234508524427e-06,2.1871090710445795e-06,2.2638606776842485e-06,2.1928772196005974e-06,2.188770096445136e-06,2.1876392393982425e-06
476.39380104013406,2.5559532155633446e-06,2.555950660079742e-06,2.5559505037325847e-06,2.555950461072265e-06,2.555983096536041e-06,2.555953040467296e-06,2.5559512009248886e-06,2.5559506989653036e-06,2.5569546720505265e-06,2.556030534658915e-06,2.5559738976999036e-06,2.5559584435341787e-06,2.6468088875353235e-06,2.556846516635347e-06,2.5562112149629668e-06,2.5560396967327925e-06,2.667455047081213e-06,2.5639918929815098e-06,2.558297289859124e-06,2.5567502782569695e-06
556.8813990945267,2.987041564789239e-06,2.9870379305574346e-06,2.987037713522711e-06,2.9870376550278355e-06,2.987083863384421e-06,2.9870412164845206e-06,2.9870386632491197e-06,2.9870379750496223e-06,2.988463515873896e-06,2.9871482007809425e-06,2.9870695808786873e-06,2.9870483929245184e-06,3.096187086756852e-06,2.988273637982708e-06,2.9873930284113337e-06,2.9871576986972848e-06,3.152054699931406e-06,2.9981587467281523e-06,2.990237884692437e-06,2.9881144624904765e-06
650.9675230458171,3.4907788948879137e-06,3.4907736907452414e-06,3.4907733877098668e-06,3.4907733072325753e-06,3.490839365474785e-06,3.4907782517495933e-06,3.4907746862267164e-06,3.4907737395811766e-06,3.4928101892289787e-06,3.490926618499035e-06,3.490816959397791e-06,3.4907878144335713e-06,3.6227144989409155e-06,3.4924841292027775e-06,3.4912594182451295e-06,3.490935495981118e-06,3.7427856975080775e-06,3.506206608841489e-06,3.4951533834925996e-06,3.4922291678451955e-06
760.9496685459876,4.07939288062098e-06,4.079385390515222e-06,4.07938496331528e-06,4.079384852292978e-06,4.0794797775134395e-06,4.079391781999786e-06,4.079386745084457e-06,4.079385438740535e-06,4.082314511724694e-06,4.079598292586195e-06,4.079444750296202e-06,4.079404530357711e-06,4.24015259488375e-06,4.08176037271224e-06,4.0800521732276e-06,4.079604859485997e-06,4.481235563680297e-06,4.100882875321399e-06,4.085401005132772e-06,4.081360893151698e-06
889.5134973108236,4.767163661142937e-06,4.7671527782788825e-06,4.767152176510248e-06,4.767152022772114e-06,4.767289628157534e-06,4.76716209298067e-06,4.767154629950476e-06,4.76715282120288e-06,4.771401168821021e-06,4.767449814202518e-06,4.767234505917428e-06,4.767178814063522e-06,4.965158606651254e-06,4.77046447004692e-06,4.768071990082778e-06,4.767451569395731e-06,5.437741115388306e-06,4.7972167689508405e-06,4.775443190038753e-06,4.769844310442695e-06
1039.79841848149,5.570768897539269e-06,5.5707528897747105e-06,5.570752058606243e-06,5.570751845193622e-06,5.570953434327897e-06,5.570766118734305e-06,5.570755446895892e-06,5.570752936001622e-06,5.576983856753204e-06,5.571168671544835e-06,5.570866213500114e-06,5.570788447692432e-06,5.818497234993947e-06,5.575390568779426e-06,5.572023161426465e-06,5.571161103404276e-06,6.725438878446566e-06,5.612984355377049e-06,5.582216447808097e-06,5.574432393504192e-06
1215.474250076286,6.5096819833326824e-06,6.509658105349758e-06,6.50965693022032e-06,6.5096566328054495e-06,6.509956283998197e-06,6.509676380966889e-06,6.509661627199237e-06,6.509658128178719e-06,6.51894485105553e-06,6.51024226390462e-06,6.509815014446585e-06,6.509706809973426e-06,6.8274775891497e-06,6.51618177832658e-06,6.511418973745298e-06,6.510217692448639e-06,8.511680298584068e-06,6.569281804216787e-06,6.525565809351042e-06,6.514704584903441e-06
1420.8308325339224,7.606637713014619e-06,7.606601293619342e-06,7.60659962323329e-06,7.606599207260478e-06,7.60705435870479e-06,7.606626755876644e-06,7.606606158006013e-06,7.606601263976387e-06,7.620804873778586e-06,7.607426199582323e-06,7.606819383498831e-06,7.606668221249446e-06,8.030731038360939e-06,7.615824776457947e-06,7.609051511467402e-06,7.607370922424472e-06,1.1016468916824618e-05,7.691284275565535e-06,7.628759035704924e-06,7.613545767545804e-06
1660.8827826277166,8.888179100108307e-06,8.888121420469464e-06,8.888119031560948e-06,8.888118447389348e-06,8.888835759002234e-06,8.888157221845217e-06,8.8881281582881e-06,8.888121285591244e-06,8.910838290909773e-06,8.889293078559457e-06,8.888425776926168e-06,8.888213684637991e-06,9.48739799930265e-06,8.90123835106671e-06,8.89154428224126e-06,8.889183435764614e-06,1.448584274622855e-05,9.009284939479056e-06,8.919110005348174e-06,8.897709870309134e-06
1941.4919457438816,1.03852933922427e-05,1.0385195636689049e-05,1.038519219570544e-05,1.0385191371684033e-05,1.038639976976008e-05,1.0385246443325724e-05,1.0385204995994046e-05,1.0385195301568229e-05,1.0424196301442312e-05,1.0386871020964805e-05,1.0385622228215041e-05,1.0385323240533206e-05,1.128961097701664e-05,1.0403977750525484e-05,1.0389997556037311e-05,1.0386666060194227e-05,2.012647667792855e-05,1.0560288108446558e-05,1.0428728808825616e-05,1.0398480082926542e-05
2269.5105366946686,1.2134161497576179e-05,1.21339764756756e-05,1.213397147559192e-05,1.2133970307401376e-05,1.2136238428342438e-05,1.2134049273387904e-05,1.2133989511817211e-05,1.2133975767963934e-05,1.2206999853825451e-05,1.2136391431522009e-05,1.2134577231412425e-05,1.2134153540399595e-05,1.3577130761374678e-05,1.2161098250765279e-05,1.214074465712145e-05,1.2136019508890428e-05,2.550634976726529e-05,1.2390898728703581e-05,1.2195440584117367e-05,1.2152447616292639e-05
2652.9484644318945,1.4177048544714022e-05,1.4176648265376568e-05,1.4176640919141836e-05,1.4176639253307699e-05,1.4181482793362843e-05,1.4176753736119818e-05,1.4176666467510812e-05,1.4176646869076825e-05,1.4323273732561037e-05,1.4180163988047889e-05,1.417749879464858e-05,1.4176894807524376e-05,1.6547028816218945e-05,1.4216249874465792e-05,1.4186238753460811e-05,1.4179497438412958e-05,3.2348648135588354e-05,1.4563433223271915e-05,1.4263936130756716e-05,1.4202428273074608e-05
