Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_sup_earth_7.0au,single_sup_earth_10.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
116.89518164985776,4.9244850530705264e-08,4.920536622599059e-08,4.920536889052585e-08,4.9205369778704267e-08,4.964561917120136e-08,4.920532337138184e-08,4.9205353902515014e-08,4.920536511576756e-08,5.143335723989395e-08,4.9203941032693876e-08,4.920486762483023e-08,4.920521168294556e-08,0.003987384739810418,4.947079668138343e-08,4.92530530804558e-08,4.9203605079206625e-08,1.693037743333292e-08,4.93464015205447e-08,4.931463315482887e-08,4.929259844743683e-08
136.6448349295326,1.1654493259349863e-08,1.1643205288791592e-08,1.1643205954925406e-08,1.1643206287992314e-08,1.1767223973002672e-08,1.164319396451674e-08,1.1643201736077913e-08,1.1643204844702382e-08,1.2225659151710033e-08,1.1642826591717892e-08,1.1643065955802001e-08,1.1643162212138236e-08,0.000638233640258723,1.1708438663049492e-08,1.1654802900551431e-08,1.1642715014303917e-08,3.1571781855532777e-09,1.1677675049170944e-08,1.1668571442413622e-08,1.166425267484783e-08
159.7312280060254,2.0408523537795986e-08,2.0384413046414807e-08,2.0384414378682436e-08,2.038441493379395e-08,2.0645736897861866e-08,2.0384389953775894e-08,2.038440549689824e-08,2.0384412158236387e-08,2.1582464149183522e-08,2.0383642551635717e-08,2.0384115395621905e-08,2.0384321564037577e-08,0.0007007226961142088,2.0502979980463465e-08,2.0405162337588933e-08,2.038337176824001e-08,4.1513543713733725e-09,2.0447465498563133e-08,2.0426683122742872e-08,2.0421645818835543e-08
186.71810912919207,3.877651910677571e-08,3.8720141537496033e-08,3.87201445350982e-08,3.872014586736583e-08,3.9324063894063954e-08,3.872008735861243e-08,3.872012299677152e-08,3.872013920602768e-08,4.1526094896049415e-08,3.8718345418686795e-08,3.8719426109778965e-08,3.871992226844867e-08,0.0007669308315777501,3.895284639288121e-08,3.875990073343161e-08,3.8717650641117984e-08,5.66704994042766e-09,3.8847130512387196e-08,3.8792001055831804e-08,3.879031051923221e-08
218.26447283974872,8.133259621345701e-08,8.118621142028104e-08,8.118622008002063e-08,8.118622374375661e-08,8.274694718313214e-08,8.118605965279357e-08,8.118616035002191e-08,8.118620542507671e-08,8.867423073599667e-08,8.118116878730319e-08,8.118422045733098e-08,8.118560579362111e-08,0.0008327310834265189,8.16835815653505e-08,8.126788242357463e-08,8.117932692730534e-08,8.589946087766975e-09,8.147647745371245e-08,8.130201267775305e-08,8.132639428559685e-08
255.14065200312874,1.7855439171654552e-07,1.781556510094262e-07,1.7815567254775289e-07,1.7815568331691622e-07,1.8295052917061128e-07,1.7815525166220425e-07,1.7815550490407617e-07,1.7815563102541176e-07,2.013782710585943e-07,1.7814240760305466e-07,1.7815005004528928e-07,1.7815393038578264e-07,1.2640394303486957e-06,1.7919697314905392e-07,1.7831422249869888e-07,1.7813612285255687e-07,1.7576864075330434e-08,1.7962894327538947e-07,1.7827847864637647e-07,1.7841238864058084e-07
298.2471286216891,4.316585492381009e-07,4.3073626876388715e-07,4.3073654443226417e-07,4.307366054945305e-07,4.418438868114549e-07,4.3073238586988083e-07,4.307356297195142e-07,4.30736348366878e-07,4.916504205976224e-07,4.3060626553348413e-07,4.3070586308591174e-07,4.30727979727763e-07,6.358926055494152e-06,4.3345198519340045e-07,4.311439465443101e-07,4.306403034171069e-07,5.998118191019586e-08,4.279991970834729e-07,4.300417918434718e-07,4.313665121769006e-07
348.6365227678084,2.6287888734710663e-06,2.622741618885094e-06,2.6227463651995464e-06,2.622747277580828e-06,2.7003986479146036e-06,2.622676907870769e-06,2.622732741541789e-06,2.622743474733902e-06,3.09560677136389e-06,2.6205776741949904e-06,2.6222895562755255e-06,2.622619700631823e-06,2.5638826327778474e-05,2.6310999824419312e-06,2.6233445309387093e-06,2.6213242664274716e-06,3.1967093916396294e-07,4.240286950452088e-07,2.597279718297152e-06,2.6215040864752126e-06
407.5392965871778,1.2783879770217332e-05,1.2757595144741174e-05,1.2757635204141415e-05,1.2757642926519708e-05,2.198752690585337e-06,1.2757047468392457e-05,1.2757518629946674e-05,1.2757609479607801e-05,1.4112287535450463e-05,1.2739354530943992e-05,1.2753728050540758e-05,1.2756520989865017e-05,8.838490786433617e-05,1.2662337397717494e-05,1.2732395082704073e-05,1.2745140919867559e-05,1.796976335288747e-06,2.0389386716779256e-06,1.2454980885756584e-05,1.2684200242363275e-05
476.39380104013406,8.333132681448419e-06,8.320124188720968e-06,8.320165869823981e-06,8.32017376561911e-06,8.474875094810486e-06,8.319556536906525e-06,8.320046765430966e-06,8.320139653794634e-06,4.9097720435598013e-05,8.301259802778738e-06,8.3161752355565e-06,8.31902952391772e-06,0.00020444368693994797,8.171151939406762e-06,8.284971053207357e-06,8.307426765052917e-06,4.991967729628399e-06,7.576933260922125e-06,7.984763658042127e-06,8.226544890521659e-06
556.8813990945267,3.02622865825386e-05,3.0237000218091836e-05,3.023717419226024e-05,3.023721110473332e-05,3.053215988357838e-05,3.0234574506016187e-05,3.023661792445065e-05,3.023705217952699e-05,0.0001622940043325416,3.0156478639575823e-05,3.021853277973552e-05,3.0231880063680272e-05,0.0002489917126839991,2.9441511164796097e-05,3.005713561787804e-05,3.0177806917164318e-05,6.299407632748277e-06,2.637304151453801e-05,2.86149451251827e-05,2.9769484662156565e-05
650.9675230458171,0.00010581830614886378,0.00010560431805006765,0.0001056042650005029,0.00010560440660511983,0.00010784258360985177,0.00010560267759340825,0.0001056021224433712,0.00010560378834467699,0.0005356217176873956,0.00010540010611859163,0.00010553245448796655,0.0001055836672511079,0.00019799783159346607,0.00010214758405646673,0.00010488243224460181,0.00010537325301551714,7.2426766556388245e-06,9.182224729253896e-05,9.924038150821435e-05,0.00010372294245952762
760.9496685459876,0.00040041441423877,0.000387506460266529,0.0003874972192747794,0.0003874975433110217,0.0005683130504939848,0.000387591723671199,0.00038749170290763857,0.00038749551491878975,0.0019128368985930067,0.0003885314599869627,0.000387312463768108,0.0003874295030846797,0.00014674607183817745,0.00038823948747512826,0.00038578793183152715,0.00038673921469756234,9.002442394878685e-06,0.0009838488327087447,0.0003720617351506972,0.0003814646057284099
889.5134973108236,0.0012431130630852216,0.0011989562038571266,0.0011989154375829925,0.0011989160543645072,0.0015980852108388177,0.0011986588993101455,0.0011989037523409962,0.0011989110070762532,0.0023026240552579402,0.0011999512412708135,0.0011984764772086098,0.0011987467326138868,0.0001166584335747789,0.0012118352640834162,0.0011920521551562757,0.0011970314521100311,1.138481200557706e-05,0.0021706139356671983,0.0011609740327148677,0.0011823848574064044
1039.79841848149,0.0016974484923301114,0.0016384925594858935,0.0016384816873180608,0.001638482458182433,0.0020842515141501483,0.0016385290976410616,0.0016384674872687022,0.0016384765482891916,0.002212072277614774,0.0016399278082992463,0.0016379249517709527,0.0016382842257383068,0.00010019394287541505,0.0016628846786770346,0.001633131277797295,0.00163627236382613,9.851568657404108e-06,0.0028419659114640172,0.0015964174386926544,0.0016190287254850277
1215.474250076286,0.002029882815147488,0.0019524792529603818,0.0019524705100656403,0.0019524711120346705,0.0024707059356700034,0.0019526505684014372,0.0019524580169694161,0.0019524650973029578,0.002010691407733689,0.0019556092418366866,0.0019520693214049034,0.001952269339921875,7.48921559343696e-05,0.001991747589076831,0.0019481733326532913,0.0019502203053974876,4.29733636708729e-06,0.0036444386175135124,0.0019162960714680377,0.0019326682772509152
1420.8308325339224,0.002403600007526041,0.0023086922876859317,0.0023086784626045187,0.0023086787681753096,0.002890230437685215,0.002308928560593393,0.0023086690870673943,0.002308672681362145,0.0018446410436165905,0.002313698475080339,0.002308389476982975,0.0023084745686037245,4.931791623852266e-05,0.002353962496623563,0.0023055622791950947,0.00230640011593386,4.7346650433599535e-07,0.004617030698921165,0.0022809554141950406,0.0022885705174708892
1660.8827826277166,0.002856703933247773,0.0027461864849275264,0.0027461692458010667,0.002746169141890964,0.003373919802067693,0.002746461316771698,0.0027461642047155177,0.0027461629818915645,0.0017423730440009333,0.002751782357885313,0.002746026261714718,0.0027459624800301174,3.7391810378317736e-05,0.0027904850987555685,0.0027446553795280604,0.002743862336799241,2.0395975053322246e-07,0.005723657128114623,0.0027261088181692594,0.002725747655800581
1941.4919457438816,0.003415041401321095,0.003288534005052579,0.0032885269546287788,0.0032885262959257977,0.003939881421586078,0.0032886981826679706,0.0032885279095737907,0.003288520160237507,0.001665103738231144,0.0032890181483659076,0.0032885840965999336,0.003288320441788284,2.672006296655649e-05,0.0033473892952980977,0.0032891500239722316,0.003286227666715158,1.6556723436700338e-07,0.006916606983668805,0.003266092785688457,0.003268092456877314
2269.5105366946686,0.00410677721606445,0.003963504264238971,0.00396355858850328,0.0039635572355682935,0.0045663470431859254,0.003963005135250275,0.003963567275492408,0.003963551361268913,0.0015786580598374789,0.00394183145354543,0.003963871740566449,0.003963360138199423,2.0879660538430933e-05,0.004103825662292171,0.003966537335587161,0.003961354887420665,1.2649145952892127e-07,0.008177216226256556,0.003908129894580004,0.003943828739808475
2652.9484644318945,0.004966470791647359,0.004808811070601382,0.004809086222932413,0.004809084233537653,0.0051842425733590325,0.004805954588234629,0.004809102394445652,0.00480907900866967,0.0014711163259193416,0.004725306425186093,0.00480963419094782,0.004808908898527919,1.7531517908619954e-05,0.005184743448569895,0.004812412374669228,0.004807121532563019,1.2051443487592906e-07,0.009530350810456611,0.004665422857063173,0.004791159422476432
3101.1689265747787,0.00604275398368348,0.0058768916678189065,0.005877814837683792,0.005877813186589864,0.00572032206058648,0.005867233109932424,0.005877828410553065,0.005877809110622412,0.0013532759170905573,0.005660099590559797,0.005878187727089146,0.005877676334564708,1.607354835675423e-05,0.0067755233984982954,0.005870583169115151,0.005876272752783573,1.1265125476889182e-07,0.010990556228500203,0.00559019827292484,0.0058627232272540075
3625.117049988535,0.007409025509877987,0.007241126278908938,0.007243642463842792,0.0072436457689570855,0.006151710545507005,0.007214975546174007,0.00724360365873522,0.007243643306121927,0.00128221742347423,0.006797489831505632,0.007241839126569283,0.007243562861928288,1.6621746179223962e-05,0.009168586573227389,0.007187071284657787,0.007242684382214648,1.1458181403689593e-07,0.012487070962908908,0.006817604764628782,0.00723042106994265
4237.587160604064,0.009173358637089013,0.009004773327522253,0.009010353228674273,0.009010380201188495,0.006520875005698201,0.008946510853413248,0.009010058116071362,0.00901037942970806,0.001250106151715058,0.00826811502018221,0.008998460953710707,0.009010353409147132,1.860363081651606e-05,0.01262126643815642,0.008796106059175135,0.009009955409344017,1.2285410611045933e-07,0.013850271053688301,0.008608240463866546,0.00898856634924683
4953.53520895917,0.011487834869698177,0.0113138374516365,0.011322996464372959,0.01132311850456491,0.006911601884133978,0.011212148271575684,0.011321666563938404,0.011323118348926853,0.0012327295093138568,0.010336305349291308,0.011273794247431024,0.011323109143352661,2.0563271800555505e-05,0.017251156643009913,0.010710652244683816,0.011322439863872269,1.363820992805742e-07,0.014874488414529208,0.011396432120392097,0.011247374201587945
5790.443980602483,0.01455985304171492,0.014374020921752328,0.014381698007709831,0.014382164331971592,0.007422157934102613,0.014251696713005968,0.014376638472946013,0.014382159852981413,0.0012355056160116007,0.013400244940262596,0.014215738534254396,0.014381991384192827,2.2826442036882888e-05,0.022939298508682704,0.012957656512503246,0.014377326674118951,1.5607600123423992e-07,0.015415604400584204,0.01600155424691596,0.014103281782586352
6768.750009458535,0.018666982575080704,0.01846805153576747,0.018457930182057103,0.018459464184947927,0.008153601256011722,0.01841026147174951,0.01844142913648894,0.01845943538843442,0.001254073842371195,0.017874291533808595,0.017988139032347195,0.018458355531363102,2.553234034030627e-05,0.02925233551498474,0.01570990410450601,0.018433021986886455,1.8058671802378967e-07,0.015400613130255203,0.023211387051216503,0.017591448196600523
7912.342618981326,0.024177635787067997,0.02396798295830227,0.02391649192670997,0.02392058877544667,0.009214364550928056,0.024083352383161505,0.023872889065322034,0.02392043848105463,0.001286487665199454,0.023977539777220058,0.022823561197652498,0.023914728837076016,2.8703271177099587e-05,0.03567732824008174,0.019534388204417885,0.02380096282106059,2.0721236004828114e-07,0.014915054880414114,0.03389092317160114,0.02169941587151758
9249.147277217333,0.031583270069952096,0.03135067953389126,0.03125150260557552,0.03125895458908634,0.010737825776321541,0.03157607433431586,0.031171849200715473,0.03125815258042908,0.0013315139505815088,0.031543829908616705,0.02927040101524725,0.031229261900879823,3.24442985665252e-05,0.041756250625201385,0.0256602302534219,0.030802566812814902,2.4371760598551617e-07,0.01415402003199795,0.048351284003878225,0.026603180813028482
10811.807510766077,0.04155389665061826,0.04125161297205249,0.04115137172140959,0.04115333793727316,0.012919504454331432,0.040924456635446194,0.04111215951928038,0.04114923705494122,0.001390009100741385,0.039983689520748045,0.038610303348113995,0.041020672642640754,3.684478631127419e-05,0.04719139779638659,0.03592737471741325,0.039749397739321735,2.832302761213157e-07,0.013328385919496921,0.06589856022893048,0.033266567946362624
12638.482029342971,0.055035298096136276,0.05460081917179016,0.054607244887642015,0.054566037054801564,0.01604468908035761,0.05189084192490723,0.05491453682348324,0.05454831974426699,0.0014642313190497136,0.048465374496292846,0.05282771278558551,0.054099803877636465,4.201396010738989e-05,0.05180492701267825,0.05204865242311396,0.05134112934834212,3.2461585341980737e-07,0.012583769509818321,0.08499132936999754,0.04439835723259744
14773.776525985097,0.07341460299631386,0.07284728733523116,0.07306237810506422,0.07290932377424342,0.020511877981573168,0.06445911173747176,0.07422638891703759,0.07285370574265082,0.0015575803521160614,0.05620205627157826,0.07343451954450386,0.07182632624391072,4.802652474111824e-05,0.05560908664206732,0.07449927332837802,0.06828806550205269,3.696237522721191e-07,0.012032664942590587,0.10381620407330128,0.06522998032260008
17269.832906594325,0.098795623421008,0.09824224736113485,0.09862656837339812,0.09832900544378687,0.026903009980626558,0.079746372545213,0.10069535182007916,0.09824746516858285,0.0016735712027503569,0.06267459490974259,0.09968652139079148,0.09758810260100126,5.493392027056121e-05,0.05872618802235896,0.10198915786901852,0.09752957228999604,4.218205843509182e-07,0.01172339124241728,0.12090525673351216,0.10256658801642982
20187.60254679039,0.1344556220844796,0.13423213483964613,0.1345163281245657,0.13418990565171818,0.03609817192764708,0.10064026713101171,0.13571197385746692,0.1344047056179537,0.0018151202657546994,0.06774734620063172,0.12779490971835128,0.13876746718562727,6.280179605666625e-05,0.06143106909074725,0.13188684034526788,0.1486066035706397,4.894334137972578e-07,0.011679879940868054,0.13557404355060787,0.1615476341876566
23598.33466782194,0.18560821448679743,0.1861704890533633,0.18593659704214405,0.1858612150761445,0.04942711587244075,0.13201107023226388,0.18200390462773441,0.18738688413149163,0.0019835806106522913,0.07169816530767581,0.15241495606596622,0.20353601859021064,7.165974241174489e-05,0.06411811279095758,0.1611253446288028,0.22516942310292576,5.891814059966194e-07,0.011948459217889784,0.14800043598357293,0.2429478487451442
