Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_sup_earth_7.0au,single_sup_earth_10.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
116.89518164985776,1.1700166768768838e-07,1.1700141011594667e-07,1.1700141822057475e-07,1.170014203299985e-07,1.1700432944738992e-07,1.1700128799141396e-07,1.1700138258241566e-07,1.1700140800652292e-07,1.1710296476952209e-07,1.1699731694569948e-07,1.1700022206628802e-07,1.1700100377431966e-07,0.00955095947137552,1.1652063769407306e-07,1.168282539598664e-07,1.1699676649712387e-07,1.8611978125360196e-07,1.1628131890706328e-07,1.1659071119662912e-07,1.1675176825320932e-07
136.6448349295326,3.2608445277304554e-08,3.260834080531794e-08,3.26083435808755e-08,3.2608344358031616e-08,3.260953207462336e-08,3.2608298838887606e-08,3.260833136842223e-08,3.260834013918412e-08,3.2650231296393883e-08,3.26069325984335e-08,3.260793468573553e-08,3.2608203248685186e-08,0.0015305501539323307,3.2472176170195155e-08,3.255923086697976e-08,3.260676850747046e-08,5.1063938411033405e-08,3.2383421055826034e-08,3.24869030565722e-08,3.253681457593416e-08
159.7312280060254,6.873070790280877e-08,6.873039393173741e-08,6.873040137023168e-08,6.873040336863312e-08,6.873399283069404e-08,6.87302806889889e-08,6.873036872967475e-08,6.873039215538057e-08,6.904096250259784e-08,6.87266016319299e-08,6.872930602419558e-08,6.873002855734e-08,0.00167740776636216,6.860793944074572e-08,6.862696355636189e-08,6.872621738374107e-08,1.0546029949320967e-07,6.837742971832483e-08,6.862265100604503e-08,6.857834689011355e-08
186.71810912919207,1.5098243111300036e-07,1.509813645217406e-07,1.5098138439473274e-07,1.5098138983482556e-07,1.5099367589588297e-07,1.509810618749441e-07,1.5098129579893538e-07,1.509813594147147e-07,1.5164616329332858e-07,1.5097122674223584e-07,1.5097841488120878e-07,1.5098037109417817e-07,0.001842238547684949,1.5052653057345822e-07,1.5076367454458506e-07,1.509700120472246e-07,2.2762614149129945e-07,1.499468597065956e-07,1.505099023191292e-07,1.5065069569608625e-07
218.26447283974872,4.0549882041052143e-07,4.055059011909279e-07,4.0550609714529173e-07,4.055061407770566e-07,4.054194736591299e-07,4.055031022076605e-07,4.0550540802986035e-07,4.0550592206312075e-07,4.0339459572713565e-07,4.0541200063692884e-07,4.0548297919329457e-07,4.05498800426507e-07,0.0020164525345632844,4.0239942322717326e-07,4.0431906678239926e-07,4.0542411983146565e-07,7.249596902791922e-07,3.954101192027437e-07,4.0209600493668063e-07,4.036595445677804e-07
255.14065200312874,2.1262554141809886e-06,2.1262439692248947e-06,2.1262450552450574e-06,2.126245332911836e-06,2.126369474164669e-06,2.1262277422051667e-06,2.126240517541511e-06,2.1262437841507165e-06,2.1375975436388472e-06,2.1257003021135645e-06,2.1260928592115036e-06,2.1261933723648596e-06,7.391243739274245e-07,2.1139007806425525e-06,2.1217696656306018e-06,2.125665302221691e-06,3.4339635957003622e-06,2.0766757982126904e-06,2.1080896146496997e-06,2.1179072208221683e-06
298.2471286216891,5.271251442007241e-06,5.271039270171585e-06,5.271041508159158e-06,5.271042204713083e-06,5.2738646496575114e-06,5.2710033241476495e-06,5.271029650644188e-06,5.271037844756243e-06,9.045266849971867e-07,5.269836865773314e-06,5.2706438987693005e-06,5.27089593915786e-06,1.7840511870037545e-06,5.2539399117979e-06,5.264761497647541e-06,5.269410591757229e-06,8.10906826431701e-06,5.181577643287305e-06,5.231638232516822e-06,5.254620997652282e-06
348.6365227678084,8.087650797961032e-06,8.086989137678913e-06,8.086991431066615e-06,8.08699237886401e-06,8.096300587512317e-06,8.086947673513478e-06,8.086974647381062e-06,8.086985798572144e-06,1.4259946392591871e-06,8.085604399465929e-06,8.086428713194316e-06,8.086771631887757e-06,2.772244574678062e-06,8.071474548732027e-06,8.080122126274958e-06,8.084530474183893e-06,1.2435856993397998e-05,8.005979690750564e-06,8.034406565382568e-06,8.064777033855997e-06
407.5392965871778,1.0308490400956494e-05,1.0307147294663643e-05,1.0307149177157804e-05,1.030715026861806e-05,1.0325419507184463e-05,1.0307107086826583e-05,1.0307129228115386e-05,1.030714206662342e-05,1.8717407720414414e-06,1.0305803883059461e-05,1.0306480372368476e-05,1.0306875122378933e-05,3.5854792719280937e-06,1.0293609560285688e-05,1.0299609229713624e-05,1.0304082001644232e-05,1.5417494487302008e-05,1.025948001609489e-05,1.024586257314386e-05,1.028018928905805e-05
476.39380104013406,1.2475721888893787e-05,1.2473335122664686e-05,1.2473336459817297e-05,1.2473337658636119e-05,1.250262335683594e-05,1.2473298085291518e-05,1.2473313821703691e-05,1.2473327925310862e-05,2.346246696260934e-06,1.2472074088276663e-05,1.2472577137767615e-05,1.2473011141822532e-05,4.362550125813769e-06,1.2463233591053502e-05,1.2464923807242734e-05,1.246969588031277e-05,1.7834844803443772e-05,1.248135018117047e-05,1.2404467118254381e-05,1.24414907710646e-05
556.8813990945267,1.4847023919961622e-05,1.4842650183921613e-05,1.4842651852919886e-05,1.4842653054958355e-05,1.4894732729864302e-05,1.4842606907095046e-05,1.484262790130142e-05,1.4842642041656973e-05,2.9253872888546084e-06,1.4840694280482403e-05,1.4841848759328258e-05,1.4842283607707785e-05,5.196817021935196e-06,1.4842403492920653e-05,1.4833792818857994e-05,1.4838534257766156e-05,2.0257322985828274e-05,1.4962843111865354e-05,1.477056138055044e-05,1.4806689948909657e-05
650.9675230458171,1.7593256295134196e-05,1.7584851157548265e-05,1.758484544489569e-05,1.7584846319418368e-05,1.768353211595297e-05,1.758468117452061e-05,1.7584824326011272e-05,1.7584834625328227e-05,3.68350629420533e-06,1.7581933880461698e-05,1.7584127783187853e-05,1.7584453992580684e-05,3.6989298510592405e-05,1.760401961525826e-05,1.7576347870917886e-05,1.7580468688493944e-05,2.3093700513454607e-05,1.79556894299715e-05,1.7517379031106728e-05,1.75464580547402e-05
760.9496685459876,2.0974964201392332e-05,2.0958869618170617e-05,2.0958711926089002e-05,2.0958711586804846e-05,2.115214496622997e-05,2.0958186339292695e-05,2.095870447660353e-05,2.0958700483020287e-05,4.741071468861158e-06,2.095528529566515e-05,2.0958463416764772e-05,2.095833912119094e-05,4.483875147753835e-05,2.1030211855510572e-05,2.095070489316342e-05,2.095456198791812e-05,2.661453784202905e-05,3.6639336618016216e-06,2.0917104624706973e-05,2.092299572198364e-05
889.5134973108236,2.542358011448087e-05,2.5395884361234522e-05,2.539548912583456e-05,2.5395486210832985e-05,2.5736690036137766e-05,2.539502003995331e-05,2.5395512091908046e-05,2.539547756152949e-05,6.025505923212826e-06,2.5404560781150387e-05,2.5396908626129644e-05,2.539519658883993e-05,5.33372188548098e-05,2.5530196612222333e-05,2.5381037862981515e-05,2.5392287550052295e-05,3.0429615645588548e-05,4.5937504645765515e-06,2.5425878745322095e-05,2.5367324811953473e-05
1039.79841848149,3.0685325747570324e-05,3.0642272629166634e-05,3.0642153761362145e-05,3.0642150440574056e-05,3.1159331325469886e-05,3.064529987828468e-05,3.064218315684819e-05,3.064214407877408e-05,7.3941755838191625e-06,3.066576303023538e-05,3.064371703975777e-05,3.0641936955455584e-05,6.296989577858625e-05,3.0847782330201134e-05,3.064916409289964e-05,3.0639765052353773e-05,3.442782277862655e-05,5.7316026854659086e-06,3.075659786166973e-05,3.0624035493032054e-05
1215.474250076286,3.656166695209517e-05,3.6496621588888445e-05,3.649650662373993e-05,3.649650127335313e-05,3.725656776010222e-05,3.650076934091917e-05,3.6496561307552966e-05,3.64964983660121e-05,9.017313182924092e-06,3.6530955071389926e-05,3.649891973989128e-05,3.6496403822083856e-05,7.454649283233916e-05,3.680378372050708e-05,3.6521449235271675e-05,3.649542722439225e-05,3.839577933995031e-05,7.091314119578307e-06,3.671097304758231e-05,3.649147928275198e-05
1420.8308325339224,4.365861948218974e-05,4.356590141330052e-05,4.3565753272689633e-05,4.3565744801132844e-05,4.463060598647317e-05,4.3570711981244514e-05,4.3565847400950375e-05,4.3565747739227056e-05,1.103533907031995e-05,4.361385014106656e-05,4.356949634676255e-05,4.356584355202919e-05,8.76259973959792e-05,4.4023020388528344e-05,4.3606649526073404e-05,4.356687115425473e-05,4.199914890179457e-05,8.82559987824827e-06,4.3923726072536695e-05,4.358123250081114e-05
1660.8827826277166,5.241556930524194e-05,5.228411277813372e-05,5.228391638489871e-05,5.2283903086314254e-05,5.375945417085415e-05,5.228920083988342e-05,5.228407351209885e-05,5.228391706080249e-05,1.3532607056943036e-05,5.235049813900883e-05,5.2289606218614004e-05,5.228437222271065e-05,0.00010155421290047872,5.296324126702334e-05,5.234820402499896e-05,5.228917820909729e-05,4.4851217741115335e-05,1.1054650966513258e-05,5.286679012572737e-05,5.2336900787763874e-05
1941.4919457438816,6.325330746914659e-05,6.306102237096933e-05,6.306075903039776e-05,6.306073865347539e-05,6.514923564315822e-05,6.30665204055525e-05,6.306100967556905e-05,6.30607699438901e-05,1.6554326704887323e-05,6.315353306529659e-05,6.306941887479489e-05,6.306178890869152e-05,0.00011546825126729221,6.404250915714726e-05,6.315965949543756e-05,6.3072520162466e-05,4.660208175744085e-05,1.3961048291544209e-05,6.396793666707534e-05,6.317155337298708e-05
