Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
120.12780991454902,1.0693442839548872e-08,1.068452991359603e-08,1.0783826775995209e-08,1.068452042118917e-08,1.0684527138038469e-08,1.0684529649918062e-08,1.1172765629341441e-08,1.0684214443723583e-08,1.0684418266793116e-08,1.068449528851545e-08,2.5112233292823305e-08,0.011490609525288645,0.07474932517008537,1.0684135506866532e-08,3.537628412431104e-09,1.0715450304843444e-08,1.0708197481501536e-08,1.0703522040911295e-08
144.30690714866023,3.2608963307367844e-09,3.2574910407978663e-09,3.294797379371772e-09,3.257487682373217e-09,3.257489972208205e-09,3.2574909020199883e-09,3.427990558080296e-09,3.2573799491064648e-09,3.257449268656565e-09,3.257478134455205e-09,8.791261607576928e-09,0.0015817153618340324,0.02814244572794075,3.2573442831917987e-09,8.036220716656217e-10,3.2673384414705353e-09,3.2644955766381045e-09,3.2634039914825053e-09
173.35272711310714,6.55567615470698e-09,6.546981637378657e-09,6.640829580684127e-09,6.546973546628365e-09,6.546978889576671e-09,6.546981290433962e-09,6.9723835455226535e-09,6.546712366661822e-09,6.546874611879083e-09,6.5469487608993404e-09,2.0265344680137076e-08,0.001049965652407725,0.038508747889005934,6.546607880797417e-09,1.1256596071929081e-09,6.5676781096923875e-09,6.5592864750829705e-09,6.5583377062417014e-09
208.24483450812022,1.4931471142842767e-08,1.490605888720964e-08,1.5177018725109903e-08,1.490603407372504e-08,1.490605033849235e-08,1.4906057846375553e-08,1.617309570989267e-08,1.4905234477224916e-08,1.4905727124814305e-08,1.490595764874758e-08,4.96798472915394e-08,1.7111867478547538e-08,0.04890166652040828,1.4904908515744886e-08,1.7237000576875161e-09,1.4957375477075985e-08,1.492803261560205e-08,1.4930753966524435e-08
250.15995895478184,3.7398461216753276e-08,3.731643623272607e-08,3.8294347581846466e-08,3.7316355158689696e-08,3.7316406631404675e-08,3.7316432208167605e-08,4.1990567481442476e-08,3.73137404724444e-08,3.731530123785021e-08,3.731608805290776e-08,2.3100584455038042e-07,4.282825055712536e-08,0.05833783666918263,3.7312484199580886e-08,3.6319094121051165e-09,3.760393629814729e-08,3.734149350842486e-08,3.7367616723127384e-08
300.5116799755142,1.0705655503762124e-07,1.068428694267487e-07,1.0933607524910016e-07,1.0684167942032197e-07,1.068426943584555e-07,1.0684290127627172e-07,1.2132701239508936e-07,1.0680296166909464e-07,1.068341898002867e-07,1.0684055727627761e-07,1.5644706696238408e-06,1.2269356958194422e-07,0.06673996616215433,1.0681599484085869e-07,1.4950117407930286e-08,1.0548245002461876e-07,1.0659587697248174e-07,1.0699186103746428e-07
360.99809969200356,8.995236731867973e-07,8.970022812027079e-07,9.247994232630674e-07,8.969787793078332e-07,8.969988662260731e-07,8.970028739785363e-07,1.0489238592009675e-06,8.962199076339994e-07,8.968322551261565e-07,8.969555009979979e-07,7.909412449907949e-06,1.0243704794826725e-06,0.07514572244513784,8.964599243210802e-07,1.123174900863333e-07,8.672751174998439e-07,8.861922537461986e-07,8.953750812168426e-07
433.6591109931442,5.217638895216314e-06,5.205363208637959e-06,5.329278952234673e-06,5.205087805409958e-06,5.205325143281536e-06,5.2053705046350984e-06,5.483708811426791e-06,5.196191716336229e-06,5.203431299560801e-06,5.204825778398758e-06,3.0488445748488857e-05,5.865934299381648e-06,0.08534687932024132,5.199131254754463e-06,7.0152212795771e-07,8.14072964719359e-07,5.048478457669869e-06,5.162302953873321e-06
520.9451925309675,2.453395595895802e-05,2.4511037883021003e-05,4.15053627121631e-06,2.4509073631079348e-05,2.4510766027288633e-05,2.4511090759071763e-05,2.2751014139649195e-05,2.4445695529839995e-05,2.449724570173506e-05,2.450722941359229e-05,5.739445234642648e-05,2.727799964628852e-05,0.09913325189524658,2.4466856644256296e-05,1.3813478408480906e-06,3.6238148682504745e-06,2.331718778819658e-05,2.4164058025286095e-05
625.8000506425814,1.8409042305739254e-05,1.838173336513038e-05,1.8621680227690063e-05,1.8380859748076683e-05,1.838140278086209e-05,1.838169581305782e-05,9.392229231999782e-05,1.8337480046495824e-05,1.836915922863447e-05,1.837817929555008e-05,4.979416688329075e-05,2.027774452442732e-05,0.11781383541183832,1.8341394350265827e-05,1.6267842246758812e-06,1.5758993873862814e-05,1.7271103134194887e-05,1.8051763328461035e-05
