Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
120.12780991454902,2.610277178433096e-09,2.6102708466924085e-09,2.6103428012874685e-09,2.6102680190931427e-09,2.610270206579446e-09,2.6102707946507042e-09,2.612780186650454e-09,2.6101761273211732e-09,2.6102433495905908e-09,2.6102614514300626e-09,4.641853325326739e-10,0.029177181231009083,0.00014400412172030537,2.610163512412056e-09,4.138729969849209e-09,2.5939487554443863e-09,2.6010141228327566e-09,2.6046714264593707e-09
144.30690714866023,9.739098555394676e-10,9.73906223028509e-10,9.73947778329376e-10,9.739048560664099e-10,9.739059159824537e-10,9.739062022118272e-10,9.753834250697535e-10,9.738603846953797e-10,9.738930183134098e-10,9.739017647891757e-10,1.8866280759866072e-10,0.003770814535848273,3.410046887648323e-05,9.738552499138908e-10,1.5172635162152837e-09,9.668798834489012e-10,9.70181280798843e-10,9.717424261090901e-10
173.35272711310714,2.393740882594697e-09,2.393726453164824e-09,2.393892721205826e-09,2.3937221250297513e-09,2.393725479984954e-09,2.393726383775885e-09,2.4016332689918984e-09,2.393581414669721e-09,2.3936844659178114e-09,2.393712330781006e-09,5.319565742761823e-10,0.0025934627817326486,4.7436130146174746e-05,2.3935650406148312e-09,3.6320653117039026e-09,2.375726103689968e-09,2.385370418550581e-09,2.389191235477317e-09
208.24483450812022,6.306948499915088e-09,6.306897041077897e-09,6.307538751720854e-09,6.306880830087014e-09,6.3068934241794494e-09,6.306896796481887e-09,6.336783433050219e-09,6.3064022840647604e-09,6.306740900352548e-09,6.306844727022032e-09,1.682908394237681e-09,2.8608743651847846e-08,6.306720931764306e-05,6.306299009037342e-09,1.0018505721201554e-08,6.247932293063085e-09,6.2827900642464796e-09,6.29455077470753e-09
250.15995895478184,4.185137198950417e-08,4.185127001204991e-08,4.1854034155131004e-08,4.1850947979718556e-08,4.185120332754477e-08,4.1851267298942396e-08,4.2063572383913006e-08,4.184231623335921e-08,4.184832698081453e-08,4.185029550338171e-08,1.4163007776984982e-08,1.8920340498496113e-07,7.863245745257964e-05,4.1840114279462215e-08,6.844474922940158e-08,4.0859826192646276e-08,4.149759867504155e-08,4.169237835700834e-08
300.5116799755142,1.270885269574057e-07,1.2708281244867836e-07,1.2715496145419836e-07,1.2708195109081832e-07,1.2708257812570067e-07,1.270827764288801e-07,1.3066411712336912e-07,1.2705826913685103e-07,1.2707322110186436e-07,1.270793204936893e-07,4.148889384131271e-08,5.75767178483122e-07,9.22936835859086e-05,1.2704314781772363e-07,1.9443376261980838e-07,1.2496012607131346e-07,1.2613094467657515e-07,1.266892062992686e-07
360.99809969200356,2.0213674348928956e-07,2.0211650863903585e-07,2.024052320592079e-07,2.0211553177981734e-07,2.021161438665875e-07,2.021164185669888e-07,2.1436385191225815e-07,2.020864603002187e-07,2.021025861716902e-07,2.0211103326540913e-07,6.701732559698248e-08,9.167392270026387e-07,0.00010370894221534317,2.0205468049573627e-07,3.0789665131369937e-07,2.0033116872840429e-07,2.0081678283635773e-07,2.015630291042625e-07
433.6591109931442,2.6203088260984275e-07,2.619881288475068e-07,2.625402877390326e-07,2.619871885458508e-07,2.6198766468928103e-07,2.6198798594272155e-07,2.877170713257854e-07,2.6195804739108375e-07,2.6197125149209077e-07,2.6198112839867504e-07,5.27743180829543e-07,1.188849543760917e-06,0.00011376907222728806,2.6190937963896377e-07,3.8271173497493594e-07,2.6126433152508233e-07,2.6044226193039366e-07,2.6129558802767683e-07
520.9451925309675,3.241025566102368e-07,3.240180388129621e-07,3.250037955374735e-07,3.2401714856848673e-07,3.2401750262901763e-07,3.240178465934579e-07,6.22176916081213e-08,3.2398607091067844e-07,3.239990982156077e-07,3.240096720820429e-07,6.555450226784776e-07,1.4712896459767588e-06,0.00012367294027731957,3.239241595873882e-07,4.479146106222548e-07,3.254885841096067e-07,3.2230596928167765e-07,3.2319508932489305e-07
625.8000506425814,3.9588628869199893e-07,3.95712624031222e-07,3.9774894453753484e-07,3.9571084993993144e-07,3.9571203608139427e-07,3.9571231856029565e-07,8.112387606985794e-08,3.95680660170844e-07,3.9569449787960065e-07,3.957032930490545e-07,8.029932571946424e-07,1.7988970804141968e-06,0.00013399265673062245,3.956088318896739e-07,5.205162484679671e-07,4.026079562322732e-07,3.940698247509311e-07,3.9480006660402855e-07
