# Time_yr Mdot_Msun_yr
1.00000e+03 3.10651e-08
1.15140e+03 3.10506e-08
1.32571e+03 3.10349e-08
1.52642e+03 3.10178e-08
1.75751e+03 3.09990e-08
2.02359e+03 3.09785e-08
2.32995e+03 3.09559e-08
2.68270e+03 3.09312e-08
3.08884e+03 3.09039e-08
3.55648e+03 3.08739e-08
4.09492e+03 3.08408e-08
4.71487e+03 3.08043e-08
5.42868e+03 3.07639e-08
6.25055e+03 3.07193e-08
7.19686e+03 3.06700e-08
8.28643e+03 3.06155e-08
9.54095e+03 3.05551e-08
1.09854e+04 3.04883e-08
1.26486e+04 3.04142e-08
1.45635e+04 3.03322e-08
1.67683e+04 3.02414e-08
1.93070e+04 3.01408e-08
2.22300e+04 3.00295e-08
2.55955e+04 2.99060e-08
2.94705e+04 2.97695e-08
3.39322e+04 2.96180e-08
3.90694e+04 2.94501e-08
4.49843e+04 2.92634e-08
5.17947e+04 2.90557e-08
5.96362e+04 2.88241e-08
6.86649e+04 2.85658e-08
7.90604e+04 2.82772e-08
9.10298e+04 2.79544e-08
1.04811e+05 2.75934e-08
1.20679e+05 2.71893e-08
1.38950e+05 2.67376e-08
1.59986e+05 2.62333e-08
1.84207e+05 2.56717e-08
2.12095e+05 2.50487e-08
2.44205e+05 2.43611e-08
2.81177e+05 2.36071e-08
3.23746e+05 2.27863e-08
3.72759e+05 2.18997e-08
4.29193e+05 2.09502e-08
