# Time_yr Mdot_Msun_yr
1.00000e+02 3.11914e-08
1.20128e+02 3.11864e-08
1.44307e+02 3.11809e-08
1.73353e+02 3.11747e-08
2.08245e+02 3.11678e-08
2.50160e+02 3.11601e-08
3.00512e+02 3.11516e-08
3.60998e+02 3.11421e-08
4.33659e+02 3.11315e-08
5.20945e+02 3.11197e-08
6.25800e+02 3.11066e-08
7.51760e+02 3.10921e-08
9.03073e+02 3.10760e-08
1.08484e+03 3.10580e-08
1.30320e+03 3.10380e-08
1.56550e+03 3.10156e-08
1.88060e+03 3.09904e-08
2.25913e+03 3.09620e-08
2.71384e+03 3.09300e-08
3.26008e+03 3.08937e-08
3.91626e+03 3.08525e-08
4.70451e+03 3.08058e-08
5.65143e+03 3.07526e-08
6.78894e+03 3.06920e-08
8.15540e+03 3.06229e-08
9.79691e+03 3.05440e-08
1.17688e+04 3.04539e-08
1.41376e+04 3.03511e-08
1.69832e+04 3.02337e-08
2.04016e+04 3.00997e-08
2.45079e+04 2.99474e-08
2.94408e+04 2.97754e-08
3.53666e+04 2.95831e-08
4.24852e+04 2.93711e-08
5.10365e+04 2.91393e-08
6.13090e+04 2.88850e-08
7.36492e+04 2.86015e-08
8.84732e+04 2.82766e-08
1.06281e+05 2.78926e-08
1.27673e+05 2.74291e-08
1.53371e+05 2.68653e-08
1.84241e+05 2.61841e-08
2.21325e+05 2.53830e-08
2.65872e+05 2.44467e-08
3.19387e+05 2.33571e-08
3.83672e+05 2.21372e-08
4.60897e+05 2.08007e-08
5.53665e+05 1.93665e-08
6.65106e+05 1.78541e-08
7.98977e+05 1.62832e-08
9.59794e+05 1.46714e-08
1.15298e+06 1.30363e-08
1.38505e+06 1.13963e-08
1.66383e+06 9.77125e-09
1.99872e+06 8.18254e-09
2.40102e+06 6.65649e-09
2.88429e+06 5.22560e-09
3.46484e+06 3.92753e-09
4.16223e+06 2.80028e-09
5.00000e+06 1.87454e-09
