run_name,v_frag,scenario,alpha,M_emb0,r_gap,M_gap,n_gaps,amp_val,M_final,M_prev,T_final_Myr,M_iso_E,R_variation,frac_h2o_percent,Is_Valid,Discard_Reason,Cat_Masa,Cat_Agua
run_r10.0_m0.01_a0.0001,10,general,0.0001,0.0001,10.0,0.01,0,0.0,3.9554729419867884,1.5479520826118722,0.21544346900318867,3.9554729419867884,0.6086556259352506,0.0,True,,Isolation Mass,0% Agua
run_r10.0_m0.1_a0.0001,10,general,0.0001,0.0001,10.0,0.1,0,0.0,0.544885766920026,0.5448842650789578,10.0,3.9554729419867884,2.7562494000597425e-06,0.0215065126803963,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m0.3_a0.0001,10,general,0.0001,0.0001,10.0,0.3,0,0.0,0.3617095415623417,0.36170922803026906,10.0,3.9554729419867884,8.668061983753233e-07,0.015486779628760787,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m0.5_a0.0001,10,general,0.0001,0.0001,10.0,0.5,0,0.0,0.2957642844110773,0.2957642092043039,10.0,3.9554729419867884,2.5427942920741753e-07,0.022259222871082937,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m1.0_a0.0001,10,general,0.0001,0.0001,10.0,1.0,0,0.0,0.23450465583632032,0.23450459434053178,10.0,3.9554729419867884,2.622369620996987e-07,0.024600626719825328,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m3.0_a0.0001,10,general,0.0001,0.0001,10.0,3.0,0,0.0,0.11393538378099881,0.11393535416467236,10.0,3.9554729419867884,2.599396733832152e-07,0.0034532250294687246,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r10.0_m5.0_a0.0001,10,general,0.0001,0.0001,10.0,5.0,0,0.0,0.07575042190946867,0.07575027682045285,10.0,3.9554729419867884,1.9153558773436e-06,0.005268796688843571,True,,< 0.1 M_E,
run_r15.0_m0.01_a0.0001,10,general,0.0001,0.0001,15.0,0.01,0,0.0,3.9554729419867884,1.567909291982777,0.21544346900318867,3.9554729419867884,0.603610158638771,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m0.1_a0.0001,10,general,0.0001,0.0001,15.0,0.1,0,0.0,2.5530550871492723,2.553054996941763,10.0,3.9554729419867884,3.533316218528159e-08,0.002892155338337586,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.3_a0.0001,10,general,0.0001,0.0001,15.0,0.3,0,0.0,1.6264535851563968,1.6264535293505074,10.0,3.9554729419867884,3.431139380452153e-08,0.004091188998825402,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.5_a0.0001,10,general,0.0001,0.0001,15.0,0.5,0,0.0,1.2985544768724495,1.2985544267524614,10.0,3.9554729419867884,3.859675435446431e-08,0.004883546234781462,True,,> 0.1 M_E (No iso),Mundos Áridos
