--- DROPPED BY TIME (< 1 Myr) ---
general | vfrag=1 | run_r10.0_m0.01_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.15_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.3_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.5_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m1.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m2.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m3.0_a0.0001_v1.0 (Time: 4.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m1.0_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m2.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m3.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.15_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.3_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.5_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m1.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m2.0_a0.0001_v1.0 (Time: 4.9e+05 yr)
general | vfrag=1 | run_r15.0_m3.0_a0.0001_v1.0 (Time: 4.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m1.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m2.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m3.0_a0.0001_v1.0 (Time: 4.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.15_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.3_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m0.5_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m1.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r15.0_m2.0_a0.0001_v1.0 (Time: 4.9e+05 yr)
general | vfrag=1 | run_r15.0_m3.0_a0.0001_v1.0 (Time: 4.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m1.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m2.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r20.0_m3.0_a0.0001_v1.0 (Time: 4.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.05_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.15_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.1_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.3_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.5_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r10.0_m1.0_a0.0001_v1.0 (Time: 3.4e+05 yr)
general | vfrag=1 | run_r10.0_m2.0_a0.0001_v1.0 (Time: 3.4e+05 yr)
general | vfrag=1 | run_r10.0_m3.0_a0.0001_v1.0 (Time: 3.4e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m0.15_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m0.3_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m0.5_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m1.0_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m2.0_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r15.0_m3.0_a0.0001_v1.0 (Time: 3.4e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r20.0_m1.0_a0.0001_v1.0 (Time: 3.9e+05 yr)
general | vfrag=1 | run_r20.0_m2.0_a0.0001_v1.0 (Time: 3.4e+05 yr)
general | vfrag=1 | run_r20.0_m3.0_a0.0001_v1.0 (Time: 3.4e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0001_v1.0 (Time: 4.3e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0001_v1.0 (Time: 8.7e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0001_v1.0 (Time: 9.8e+05 yr)
general | vfrag=1 | run_r15.0_m3.0_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m1.0_a0.0001_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m2.0_a0.0001_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m3.0_a0.0001_v1.0 (Time: 5.5e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0001_v1.0 (Time: 7.7e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.15_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.3_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.5_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m1.0_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m2.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m3.0_a0.0005_v1.0 (Time: 7.7e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.15_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.3_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.5_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r15.0_m1.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0005_v1.0 (Time: 7.7e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.15_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.3_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.5_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m1.0_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m2.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m3.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.15_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.3_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.5_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m1.0_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m2.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m3.0_a0.0005_v1.0 (Time: 7.7e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.15_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.3_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.5_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r15.0_m1.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0005_v1.0 (Time: 7.7e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.15_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.3_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.5_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m1.0_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m2.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m3.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.15_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.3_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.5_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m1.0_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m2.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m3.0_a0.0005_v1.0 (Time: 7.7e+05 yr)
general | vfrag=1 | run_r15.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.15_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.3_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r15.0_m0.5_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r15.0_m1.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.15_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r20.0_m0.3_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r20.0_m0.5_a0.0005_v1.0 (Time: 7.7e+05 yr)
general | vfrag=1 | run_r5.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.15_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m0.3_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m0.5_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m1.0_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r5.0_m2.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r5.0_m3.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
general | vfrag=1 | run_r10.0_m0.01_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.05_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.15_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.1_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.3_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m0.5_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m1.0_a0.0005_v1.0 (Time: 6.1e+05 yr)
general | vfrag=1 | run_r10.0_m2.0_a0.0005_v1.0 (Time: 6.9e+05 yr)
